"Country or Area","Year(s)","Variant","Value"
"China","2072","No change","865176.011"
"China","2072","Momentum","1334561.513"
"China","2072","Instant replacement zero migration","1465420.434"
"China","2072","Median PI","1062612.89"
"China","2072","Upper 80 PI","1170319.865"
"China","2072","Lower 80 PI","944606.597"
"China","2072","Upper 95 PI","1228024.202"
"China","2072","Lower 95 PI","883312.374"
"China","2071","Medium","1073902.382"
"China","2071","High","1278348.224"
"China","2071","Low","898526.929"
"China","2071","Constant fertility","1002897.466"
"China","2071","Instant replacement","1444042.694"
"China","2071","Zero migration","1093659.619"
"China","2071","Constant mortality","950778.458"
"China","2071","No change","880614.353"
"China","2071","Momentum","1338706.91"
"China","2071","Instant replacement zero migration","1467222.298"
"China","2071","Median PI","1073902.382"
"China","2071","Upper 80 PI","1179785.405"
"China","2071","Lower 80 PI","958197.365"
"China","2071","Upper 95 PI","1236984.87"
"China","2071","Lower 95 PI","897869.617"
"China","2070","Medium","1085287.617"
"China","2070","High","1283912.833"
"China","2070","Low","913958.464"
"China","2070","Constant fertility","1016429.137"
"China","2070","Instant replacement","1446512.434"
"China","2070","Zero migration","1104605.335"
"China","2070","Constant mortality","964188.672"
"China","2070","No change","896117.197"
"China","2070","Momentum","1342965.578"
"China","2070","Instant replacement zero migration","1469110.95"
"China","2070","Median PI","1085287.617"
"China","2070","Upper 80 PI","1188811.71"
"China","2070","Lower 80 PI","971644.824"
"China","2070","Upper 95 PI","1244994.613"
"China","2070","Lower 95 PI","912694.995"
"China","2069","Medium","1096787.141"
"China","2069","High","1289639.701"
"China","2069","Low","929493.505"
"China","2069","Constant fertility","1029995.066"
"China","2069","Instant replacement","1449074.392"
"China","2069","Zero migration","1115664.658"
"China","2069","Constant mortality","977744.657"
"China","2069","No change","911689.324"
"China","2069","Momentum","1347331.269"
"China","2069","Instant replacement zero migration","1471093.602"
"China","2069","Median PI","1096787.141"
"China","2069","Upper 80 PI","1197558.524"
"China","2069","Lower 80 PI","985679.657"
"China","2069","Upper 95 PI","1252425.927"
"China","2069","Lower 95 PI","926888.059"
"China","2068","Medium","1108424.585"
"China","2068","High","1295558.27"
"China","2068","Low","945146.959"
"China","2068","Constant fertility","1043615.552"
"China","2068","Instant replacement","1451732.914"
"China","2068","Zero migration","1126861.714"
"China","2068","Constant mortality","991459.823"
"China","2068","No change","927340.675"
"China","2068","Momentum","1351800.022"
"China","2068","Instant replacement zero migration","1473175.163"
"China","2068","Median PI","1108424.584"
"China","2068","Upper 80 PI","1207052.985"
"China","2068","Lower 80 PI","1000203.258"
"China","2068","Upper 95 PI","1259588.121"
"China","2068","Lower 95 PI","941447.087"
"China","2067","Medium","1120182.122"
"China","2067","High","1301649.17"
"China","2067","Low","960902.934"
"China","2067","Constant fertility","1057299.353"
"China","2067","Instant replacement","1454479.026"
"China","2067","Zero migration","1138178.333"
"China","2067","Constant mortality","1005320.654"
"China","2067","No change","943083.839"
"China","2067","Momentum","1356368.519"
"China","2067","Instant replacement zero migration","1475347.186"
"China","2067","Median PI","1120182.122"
"China","2067","Upper 80 PI","1217024.546"
"China","2067","Lower 80 PI","1014752.415"
"China","2067","Upper 95 PI","1266739.802"
"China","2067","Lower 95 PI","957413.215"
"China","2066","Medium","1132053.398"
"China","2066","High","1307913.109"
"China","2066","Low","976750.785"
"China","2066","Constant fertility","1071050.9"
"China","2066","Instant replacement","1457299.504"
"China","2066","Zero migration","1149608.334"
"China","2066","Constant mortality","1019329.414"
"China","2066","No change","958931.6"
"China","2066","Momentum","1361033.589"
"China","2066","Instant replacement zero migration","1477596.988"
"China","2066","Median PI","1132053.398"
"China","2066","Upper 80 PI","1227014.65"
"China","2066","Lower 80 PI","1029343.705"
"China","2066","Upper 95 PI","1274747.962"
"China","2066","Lower 95 PI","973246.085"
"China","2065","Medium","1144050.917"
"China","2065","High","1314380.655"
"China","2065","Low","992688.395"
"China","2065","Constant fertility","1084865.586"
"China","2065","Instant replacement","1460173.924"
"China","2065","Zero migration","1161165.204"
"China","2065","Constant mortality","1033514.708"
"China","2065","No change","974895.497"
"China","2065","Momentum","1365792.575"
"China","2065","Instant replacement zero migration","1479904.69"
"China","2065","Median PI","1144050.918"
"China","2065","Upper 80 PI","1237140.516"
"China","2065","Lower 80 PI","1043878.949"
"China","2065","Upper 95 PI","1283339.295"
"China","2065","Lower 95 PI","988318.816"
"China","2064","Medium","1156145.638"
"China","2064","High","1321028.886"
"China","2064","Low","1008685.072"
"China","2064","Constant fertility","1098732.262"
"China","2064","Instant replacement","1463080.673"
"China","2064","Zero migration","1172819.909"
"China","2064","Constant mortality","1047867.022"
"China","2064","No change","990983.561"
"China","2064","Momentum","1370644.608"
"China","2064","Instant replacement zero migration","1482249.201"
"China","2064","Median PI","1156145.638"
"China","2064","Upper 80 PI","1247524.029"
"China","2064","Lower 80 PI","1058533.006"
"China","2064","Upper 95 PI","1292394.932"
"China","2064","Lower 95 PI","1003586.752"
"China","2063","Medium","1168316.258"
"China","2063","High","1327845.13"
"China","2063","Low","1024716.572"
"China","2063","Constant fertility","1112643.598"
"China","2063","Instant replacement","1466010.7"
"China","2063","Zero migration","1184551.289"
"China","2063","Constant mortality","1062374.944"
"China","2063","No change","1007198.108"
"China","2063","Momentum","1375591.655"
"China","2063","Instant replacement zero migration","1484621.988"
"China","2063","Median PI","1168316.257"
"China","2063","Upper 80 PI","1257892.793"
"China","2063","Lower 80 PI","1072968.108"
"China","2063","Upper 95 PI","1302060.455"
"China","2063","Lower 95 PI","1018285.575"
"China","2062","Medium","1180553.369"
"China","2062","High","1334836.446"
"China","2062","Low","1040763.693"
"China","2062","Constant fertility","1126582.857"
"China","2062","Instant replacement","1468952.614"
"China","2062","Zero migration","1196350.636"
"China","2062","Constant mortality","1077041.274"
"China","2062","No change","1023534.571"
"China","2062","Momentum","1380635.769"
"China","2062","Instant replacement zero migration","1487012.113"
"China","2062","Median PI","1180553.369"
"China","2062","Upper 80 PI","1267992.825"
"China","2062","Lower 80 PI","1087051.665"
"China","2062","Upper 95 PI","1311504.231"
"China","2062","Lower 95 PI","1032254.207"
"China","2061","Medium","1192805.228"
"China","2061","High","1341957.364"
"China","2061","Low","1056773.209"
"China","2061","Constant fertility","1140512.603"
"China","2061","Instant replacement","1471881.15"
"China","2061","Zero migration","1208166.318"
"China","2061","Constant mortality","1091838.054"
"China","2061","No change","1039979.044"
"China","2061","Momentum","1385776.371"
"China","2061","Instant replacement zero migration","1489394.674"
"China","2061","Median PI","1192805.228"
"China","2061","Upper 80 PI","1278707.473"
"China","2061","Lower 80 PI","1101639.789"
"China","2061","Upper 95 PI","1320466.443"
"China","2061","Lower 95 PI","1046523.805"
"China","2060","Medium","1205020.65"
"China","2060","High","1349156.78"
"China","2060","Low","1072690.809"
"China","2060","Constant fertility","1154383.185"
"China","2060","Instant replacement","1474766.393"
"China","2060","Zero migration","1219947.519"
"China","2060","Constant mortality","1106738.437"
"China","2060","No change","1056506.109"
"China","2060","Momentum","1391008.744"
"China","2060","Instant replacement zero migration","1491740.016"
"China","2060","Median PI","1205020.65"
"China","2060","Upper 80 PI","1288964.131"
"China","2060","Lower 80 PI","1116239.822"
"China","2060","Upper 95 PI","1329451.503"
"China","2060","Lower 95 PI","1061445.934"
"China","2059","Medium","1217157.937"
"China","2059","High","1356382.511"
"China","2059","Low","1088473.181"
"China","2059","Constant fertility","1168152.616"
"China","2059","Instant replacement","1477591.687"
"China","2059","Zero migration","1231652.974"
"China","2059","Constant mortality","1121708.144"
"China","2059","No change","1073081.12"
"China","2059","Momentum","1396324.305"
"China","2059","Instant replacement zero migration","1494031.705"
"China","2059","Median PI","1217157.937"
"China","2059","Upper 80 PI","1298438.797"
"China","2059","Lower 80 PI","1130333.528"
"China","2059","Upper 95 PI","1338778.711"
"China","2059","Lower 95 PI","1077161.662"
"China","2058","Medium","1229126.156"
"China","2058","High","1363517.279"
"China","2058","Low","1104042.042"
"China","2058","Constant fertility","1181774.971"
"China","2058","Instant replacement","1480341.337"
"China","2058","Zero migration","1243191.086"
"China","2058","Constant mortality","1136661.772"
"China","2058","No change","1089663.235"
"China","2058","Momentum","1401712.917"
"China","2058","Instant replacement zero migration","1496254.167"
"China","2058","Median PI","1229126.156"
"China","2058","Upper 80 PI","1308234.579"
"China","2058","Lower 80 PI","1144586.338"
"China","2058","Upper 95 PI","1348112.82"
"China","2058","Lower 95 PI","1092071.849"
"China","2057","Medium","1240879.992"
"China","2057","High","1370505.242"
"China","2057","Low","1119355.532"
"China","2057","Constant fertility","1195209.18"
"China","2057","Instant replacement","1483010.6"
"China","2057","Zero migration","1254516.775"
"China","2057","Constant mortality","1151546.786"
